delta_x,delta_y,delta_z,acc_x,acc_y,acc_z,pot_x,pot_y,pot_z
0.480802,0.91492,0.467958,-501.828,5244.61,384.858,5831.41,-60944.1,-4472.18
0.384588,0.293847,0.840969,-1319.88,-1020.79,3205.68,26622.3,20589.6,-64659.4
0.87855,0.611567,0.403323,4269.27,1015.81,-141.712,-44849.8,-10671.3,1488.71
0.631973,0.348527,0.817951,933.642,-2236.17,1992.85,-25691.9,61534.6,-54839
0.00490548,0.357012,0.0014567,-2961.63,-104.47,-2987.1,9228.83,325.543,9308.2
0.0673871,0.205736,0.910738,-3496.54,-3548.04,4320.33,21124.5,21435.6,-26101.5
0.169812,0.955043,0.239549,-4308.84,5352.22,-1984.95,39265.7,-48774,18088.6
0.00054344,0.5657,0.622369,-5346.52,40.3841,-2085.51,56567.6,-427.275,22065.2
0.236704,0.991797,0.186566,-3928.17,6042.66,-1094.53,37798.7,-58145.4,10532.1
0.605844,0.515995,0.433122,618.709,-1181.18,946.4,-28917.9,55207.5,-44234
0.202009,0.582914,0.845902,-2224.6,738.605,3745.48,38965.8,-12937.3,-65605.2
0.931482,0.0547401,0.645955,3160.09,-3324.66,226.167,-13881.3,14604.2,-993.482
0.0180652,0.126669,0.736203,-5760.14,-2966.61,2586.38,57669.4,29701.1,-25894.3
0.206996,0.883757,0.513678,-1951.3,3251.62,977.083,35851.8,-59742.9,-17952.2
0.29809,0.742686,0.653353,-1389.64,2613.43,1599.22,24134.9,-45389.2,-27774.8
0.458732,0.0916566,0.263522,-381.894,-4986.6,-896.537,3989.62,52094.7,9366.06
0.588898,0.668194,0.822872,529.537,1444.39,4463.5,-8951.97,-24417.8,-75456.7
0.606277,0.214556,0.97882,171.434,-3241.42,5872.19,-1559.38,29484.2,-53413.9
0.258412,0.0786417,0.484083,-387.612,-5927.89,-971.317,4342.68,66414.2,10882.3
0.872836,0.409801,0.621825,4085.81,-591.441,-589.998,-98560.4,14267.1,14232.3
0.914675,0.138249,0.105281,1277.71,-899.847,-459.526,-29575.2,20828.9,10636.7
0.990698,0.415129,0.852013,5513.41,-108.511,3603.49,-47747.1,939.726,-31206.9
0.605715,0.842077,0.853249,1367.02,2564.66,2496.22,-32742.8,-61428.5,-59789.3
0.599635,0.0643871,0.0753377,884.661,-2966.67,-3746.81,-3858.08,12937.9,16340.1
0.429836,0.689574,0.760559,-706.472,1423.54,2359.58,17224.8,-34708,-57530.1
0.931185,0.546507,0.813165,4138.26,1993.5,2574.58,-52198.6,-25145.4,-32474.9
0.608384,0.191003,0.199155,621.854,-2317.24,-1593.58,-11547.1,43028.6,29590.9
0.347525,0.353343,0.616637,-307.471,51.2572,1194.85,26224.6,-4371.8,-101910
0.276931,0.276461,0.536506,-3486.55,-1975.68,-1078.53,72706.6,41199.9,22491.2
0.214267,0.971527,0.00658849,-1817.97,3422.65,-4079.13,9152.04,-17230.3,20535.2
0.589057,0.0637207,0.0432204,710.597,-2828.16,-3370.24,-4459.25,17747.7,21149.5
0.751727,0.809771,0.708684,3385.1,3928.65,1717.39,-40424.1,-46915.1,-20508.7
0.838354,0.141784,0.727321,1737.91,-3689.81,2313.5,-28311,60108.1,-37687.5
0.150031,0.300228,0.760651,-320.705,-370.478,3525.56,8296.33,9583.92,-91202.7
0.558364,0.7011,0.25355,868.233,2570.39,-2445.73,-24943.5,-73844.8,70263.4
0.0387348,0.337557,0.82906,-5346.15,-1094.33,2185.24,79409.2,16254.6,-32458.5
0.0718777,0.304173,0.154012,-4452.07,-2197.82,-3613.78,46259.9,22836.7,37549.5
0.436442,0.200207,0.316679,-1185.23,-4333.44,-1718.35,17857.2,65289.2,25889.3
0.076029,0.61878,0.419907,-6316.17,2038.65,-1124.51,45204.6,-14590.5,8048.1
0.503605,0.246911,0.63299,2433.13,-1892.44,113.434,-89542.1,69644.2,-4174.52
0.849363,0.199825,0.924075,2444.93,-2665.39,3840.15,-28503.1,31073.2,-44768.6
0.871613,0.210559,0.0975104,1269.88,-2726.45,-2634.65,-18101.1,38863.3,37554.7
0.958792,0.0676277,0.372971,3565,-2082.22,-1662.06,-15815.4,9237.34,7373.41
0.567344,0.92717,0.404927,1384.03,6096.08,-1071.04,-11321.6,-49867,8761.3
0.467954,0.157295,0.901952,1883.83,-3938.26,6077.97,-19768,41326.3,-63779.4
0.191253,0.679852,0.0770973,-3839.06,804.106,-3607.62,57570.7,-12058.4,54100
0.3145,0.740049,0.604067,-753.112,2466.78,1129.98,19434.6,-63657.1,-29159.9
0.41492,0.0110673,0.270287,-530.208,-4603.94,-1020.25,4013.27,34848.2,7722.52
0.954836,0.707225,0.586437,4878.2,1495.32,-417.165,-43362.9,-13292.1,3708.23
0.752233,0.797323,0.0714149,-948.023,4063.51,-4478.43,12774.2,-54754.2,60345
0.196736,0.980254,0.314367,-2683.8,5100.71,-1105.81,25009.9,-47532.7,10304.8
0.325153,0.0145115,0.13197,-14.2413,-4566.24,-2121.61,105.726,33899.1,15750.5
0.716703,0.793041,0.67775,2457.26,4021.1,1258.78,-24744.1,-40491.7,-12675.7
0.580799,0.61049,0.861828,791.672,1200.49,4839.55,-11252.3,-17063,-68786.3
0.132197,0.0447101,0.483739,-1380.28,-5590.57,474.188,11844.2,47972.8,-4069.02
0.347083,0.649555,0.375228,-606.858,259.149,29.646,94334.5,-40284,-4608.39
0.777109,0.715462,0.402836,2882.28,1588.64,-1655.36,-70669,-38951,40587
0.77515,0.998768,0.864584,2296.03,4229.89,1828.21,-12998.9,-23947.3,-10350.4
0.969669,0.348962,0.551208,7098.03,-1121.41,-1175.11,-56681.5,8955,9383.87
0.667219,0.735076,0.805815,2081.84,1285.56,2785.66,-50621.4,-31259.2,-67735.3
